season_year,team_name_home,total_points,assists,rebounds,steals,blocks,games_played,wins,total_points_against,points_per_game,assists_per_game,rebounds_per_game,win_loss_ratio,point_differential,championship_winner
2014,Atlanta Hawks,5314.0,1371.0,2161.0,469.0,233.0,52,42,4946.0,102.1923076923077,26.365384615384617,41.55769230769231,0.8076923076923077,368.0,0
2014,Boston Celtics,4819.0,1156.0,2119.0,382.0,178.0,48,24,4736.0,100.39583333333333,24.083333333333332,44.145833333333336,0.5,83.0,0
2014,Brooklyn Nets,4787.0,1035.0,2080.0,347.0,173.0,48,24,4858.0,99.72916666666667,21.5625,43.333333333333336,0.5,-71.0,0
2014,Charlotte Hornets,4257.0,943.0,1990.0,244.0,295.0,45,21,4337.0,94.6,20.955555555555556,44.22222222222222,0.4666666666666667,-80.0,0
2014,Chicago Bulls,5205.0,1151.0,2418.0,330.0,358.0,52,33,5012.0,100.09615384615384,22.134615384615383,46.5,0.6346153846153846,193.0,0
2014,Cleveland Cavaliers,5784.0,1297.0,2500.0,372.0,275.0,56,42,5395.0,103.28571428571429,23.160714285714285,44.642857142857146,0.75,389.0,0
2014,Dallas Mavericks,5050.0,1039.0,2009.0,381.0,226.0,47,30,4867.0,107.44680851063829,22.106382978723403,42.744680851063826,0.6382978723404256,183.0,0
2014,Denver Nuggets,4460.0,958.0,1964.0,323.0,186.0,43,20,4452.0,103.72093023255815,22.27906976744186,45.674418604651166,0.46511627906976744,8.0,0
2014,Detroit Pistons,4464.0,1026.0,1933.0,327.0,188.0,44,21,4428.0,101.45454545454545,23.318181818181817,43.93181818181818,0.4772727272727273,36.0,0
2014,Golden State Warriors,6104.0,1562.0,2437.0,524.0,312.0,55,51,5395.0,110.98181818181818,28.4,44.30909090909091,0.9272727272727272,709.0,1
2014,Houston Rockets,5633.0,1194.0,2404.0,539.0,302.0,54,41,5333.0,104.31481481481481,22.11111111111111,44.51851851851852,0.7592592592592593,300.0,0
2014,Indiana Pacers,4330.0,937.0,2008.0,271.0,233.0,44,25,4204.0,98.4090909090909,21.295454545454547,45.63636363636363,0.5681818181818182,126.0,0
2014,Los Angeles Clippers,5622.0,1343.0,2310.0,421.0,296.0,53,36,5271.0,106.0754716981132,25.339622641509433,43.58490566037736,0.6792452830188679,351.0,0
2014,Los Angeles Lakers,4797.0,1060.0,2140.0,339.0,232.0,49,15,5089.0,97.89795918367346,21.632653061224488,43.673469387755105,0.30612244897959184,-292.0,0
2014,Memphis Grizzlies,5051.0,1065.0,2260.0,418.0,244.0,51,38,4735.0,99.03921568627452,20.88235294117647,44.31372549019608,0.7450980392156863,316.0,0
2014,Miami Heat,4584.0,899.0,1862.0,388.0,204.0,47,22,4642.0,97.53191489361703,19.127659574468087,39.61702127659574,0.46808510638297873,-58.0,0
2014,Milwaukee Bucks,4537.0,1130.0,2025.0,438.0,246.0,47,25,4551.0,96.53191489361703,24.04255319148936,43.08510638297872,0.5319148936170213,-14.0,0
2014,Minnesota Timberwolves,4300.0,949.0,1821.0,371.0,182.0,44,11,4575.0,97.72727272727273,21.568181818181817,41.38636363636363,0.25,-275.0,0
2014,New Orleans Pelicans,4799.0,1091.0,2096.0,329.0,361.0,47,31,4596.0,102.1063829787234,23.21276595744681,44.59574468085106,0.6595744680851063,203.0,0
2014,New York Knicks,4036.0,884.0,1779.0,336.0,178.0,44,11,4383.0,91.72727272727273,20.09090909090909,40.43181818181818,0.25,-347.0,0
2014,Oklahoma City Thunder,4774.0,952.0,2162.0,344.0,259.0,45,30,4528.0,106.08888888888889,21.155555555555555,48.044444444444444,0.6666666666666666,246.0,0
2014,Orlando Magic,4366.0,955.0,1930.0,353.0,175.0,45,15,4576.0,97.02222222222223,21.22222222222222,42.888888888888886,0.3333333333333333,-210.0,0
2014,Philadelphia 76ers,4274.0,1023.0,1960.0,443.0,270.0,45,14,4483.0,94.97777777777777,22.733333333333334,43.55555555555556,0.3111111111111111,-209.0,0
2014,Phoenix Suns,4527.0,876.0,1882.0,391.0,206.0,44,25,4433.0,102.88636363636364,19.90909090909091,42.77272727272727,0.5681818181818182,94.0,0
2014,Portland Trail Blazers,4821.0,1063.0,2162.0,309.0,214.0,46,35,4430.0,104.80434782608695,23.108695652173914,47.0,0.7608695652173914,391.0,0
2014,Sacramento Kings,4455.0,886.0,1960.0,291.0,174.0,44,20,4457.0,101.25,20.136363636363637,44.54545454545455,0.45454545454545453,-2.0,0
2014,San Antonio Spurs,5026.0,1209.0,2072.0,380.0,266.0,47,35,4627.0,106.93617021276596,25.72340425531915,44.08510638297872,0.7446808510638298,399.0,0
2014,Toronto Raptors,4793.0,1004.0,1957.0,338.0,204.0,47,31,4611.0,101.97872340425532,21.361702127659573,41.638297872340424,0.6595744680851063,182.0,0
2014,Utah Jazz,4242.0,829.0,1985.0,319.0,268.0,44,23,4095.0,96.4090909090909,18.84090909090909,45.11363636363637,0.5227272727272727,147.0,0
2014,Washington Wizards,5083.0,1239.0,2268.0,413.0,269.0,50,34,4810.0,101.66,24.78,45.36,0.68,273.0,0
2015,Atlanta Hawks,5028.0,1305.0,2076.0,448.0,322.0,49,31,4751.0,102.61224489795919,26.632653061224488,42.36734693877551,0.6326530612244898,277.0,0
2015,Boston Celtics,4946.0,1151.0,2184.0,411.0,245.0,47,33,4677.0,105.23404255319149,24.48936170212766,46.46808510638298,0.7021276595744681,269.0,0
2015,Brooklyn Nets,4349.0,988.0,1847.0,325.0,185.0,44,15,4565.0,98.8409090909091,22.454545454545453,41.97727272727273,0.3409090909090909,-216.0,0
2015,Charlotte Hornets,4896.0,1035.0,2112.0,323.0,302.0,47,35,4598.0,104.17021276595744,22.02127659574468,44.93617021276596,0.7446808510638298,298.0,0
2015,Chicago Bulls,4692.0,1081.0,2253.0,276.0,301.0,46,29,4636.0,102.0,23.5,48.97826086956522,0.6304347826086957,56.0,0
2015,Cleveland Cavaliers,5949.0,1359.0,2469.0,406.0,227.0,56,43,5469.0,106.23214285714286,24.267857142857142,44.089285714285715,0.7678571428571429,480.0,0
2015,Dallas Mavericks,4744.0,1013.0,1980.0,348.0,158.0,46,23,4716.0,103.1304347826087,22.02173913043478,43.04347826086956,0.5,28.0,0
2015,Denver Nuggets,4468.0,971.0,1924.0,320.0,216.0,43,20,4521.0,103.90697674418605,22.58139534883721,44.74418604651163,0.46511627906976744,-53.0,0
2015,Detroit Pistons,4900.0,993.0,2194.0,328.0,178.0,47,27,4697.0,104.25531914893617,21.127659574468087,46.680851063829785,0.574468085106383,203.0,0
2015,Golden State Warriors,6610.0,1652.0,2681.0,488.0,359.0,58,52,5839.0,113.96551724137932,28.482758620689655,46.224137931034484,0.896551724137931,771.0,1
2015,Houston Rockets,4996.0,1063.0,2082.0,450.0,278.0,47,26,4915.0,106.29787234042553,22.617021276595743,44.297872340425535,0.5531914893617021,81.0,0
2015,Indiana Pacers,4906.0,1002.0,2150.0,426.0,252.0,48,31,4705.0,102.20833333333333,20.875,44.791666666666664,0.6458333333333334,201.0,0
2015,Los Angeles Clippers,5031.0,1131.0,2106.0,408.0,280.0,48,34,4712.0,104.8125,23.5625,43.875,0.7083333333333334,319.0,0
2015,Los Angeles Lakers,4763.0,930.0,2150.0,348.0,213.0,49,15,5033.0,97.20408163265306,18.979591836734695,43.87755102040816,0.30612244897959184,-270.0,0
2015,Memphis Grizzlies,4731.0,966.0,1997.0,407.0,216.0,47,30,4692.0,100.65957446808511,20.5531914893617,42.48936170212766,0.6382978723404256,39.0,0
2015,Miami Heat,5333.0,1051.0,2289.0,365.0,315.0,52,35,5031.0,102.5576923076923,20.21153846153846,44.01923076923077,0.6730769230769231,302.0,0
2015,Milwaukee Bucks,4430.0,1051.0,1837.0,378.0,259.0,44,24,4487.0,100.68181818181819,23.886363636363637,41.75,0.5454545454545454,-57.0,0
2015,Minnesota Timberwolves,4567.0,1032.0,1836.0,336.0,199.0,45,16,4749.0,101.4888888888889,22.933333333333334,40.8,0.35555555555555557,-182.0,0
2015,New Orleans Pelicans,4627.0,1020.0,1875.0,353.0,206.0,44,22,4670.0,105.1590909090909,23.181818181818183,42.61363636363637,0.5,-43.0,0
2015,New York Knicks,4347.0,902.0,1984.0,250.0,246.0,44,21,4377.0,98.79545454545455,20.5,45.09090909090909,0.4772727272727273,-30.0,0
2015,Oklahoma City Thunder,5795.0,1201.0,2568.0,428.0,325.0,53,41,5216.0,109.33962264150944,22.660377358490567,48.45283018867924,0.7735849056603774,579.0,0
2015,Orlando Magic,4676.0,1109.0,2019.0,385.0,240.0,45,26,4570.0,103.91111111111111,24.644444444444446,44.86666666666667,0.5777777777777777,106.0,0
2015,Philadelphia 76ers,4351.0,988.0,1833.0,382.0,252.0,44,9,4752.0,98.88636363636364,22.454545454545453,41.65909090909091,0.20454545454545456,-401.0,0
2015,Phoenix Suns,4559.0,915.0,2034.0,370.0,173.0,44,16,4656.0,103.61363636363636,20.795454545454547,46.22727272727273,0.36363636363636365,-97.0,0
2015,Portland Trail Blazers,5314.0,1124.0,2316.0,350.0,227.0,49,34,5032.0,108.44897959183673,22.93877551020408,47.265306122448976,0.6938775510204082,282.0,0
2015,Sacramento Kings,4599.0,1025.0,1895.0,368.0,172.0,43,20,4638.0,106.95348837209302,23.837209302325583,44.06976744186046,0.46511627906976744,-39.0,0
2015,San Antonio Spurs,5114.0,1232.0,2172.0,416.0,302.0,49,45,4447.0,104.36734693877551,25.142857142857142,44.326530612244895,0.9183673469387755,667.0,0
2015,Toronto Raptors,5764.0,1017.0,2440.0,430.0,280.0,56,44,5415.0,102.92857142857143,18.160714285714285,43.57142857142857,0.7857142857142857,349.0,0
2015,Utah Jazz,4322.0,752.0,1927.0,359.0,233.0,44,25,4094.0,98.22727272727273,17.09090909090909,43.79545454545455,0.5681818181818182,228.0,0
2015,Washington Wizards,4714.0,1118.0,1856.0,397.0,169.0,44,24,4553.0,107.13636363636364,25.40909090909091,42.18181818181818,0.5454545454545454,161.0,0
